lesson,english,hebrew,example_en,example_he
1,adventure,הרפתקה,We went on a big adventure in the forest.,יצאנו להרפתקה גדולה ביער.
1,discover,לגלות,I want to discover new places.,אני רוצה לגלות מקומות חדשים.
1,brave,אמיץ,The brave knight saved the village.,האביר האמיץ הציל את הכפר.
1,forest,יער,We walked through a dark forest.,הלכנו דרך יער אפל.
1,treasure,אוצר,They found a hidden treasure.,הם מצאו אוצר נסתר.
2,curious,סקרן,The curious cat looked at the box.,החתול הסקרן הסתכל על הקופסה.
2,explore,לחקור,Let's explore the old castle.,בואו נחקור את הטירה הישנה.
2,mystery,תעלומה,There was a mystery in the library.,הייתה תעלומה בספרייה.
2,secret,סוד,She told me a little secret.,היא סיפרה לי סוד קטן.
2,map,מפה,We used a map to find the way.,השתמשנו במפה כדי למצוא את הדרך.
3,friendship,ידידות,Their friendship lasted for years.,הידידות שלהם נמשכה שנים.
3,helpful,מועיל,My sister is very helpful at home.,אחותי מאוד מועילה בבית.
3,kind,אדיב,Be kind to your classmates.,היו אדיבים לחברים לכיתה.
3,share,לשתף,I like to share my snacks.,אני אוהב לשתף את החטיפים שלי.
3,together,יחד,We finished the project together.,סיימנו את הפרויקט יחד.
4,imagine,לדמיין,Can you imagine a flying horse?,אתם יכולים לדמיין סוס מעופף?
4,creative,יצירתי,She is a very creative artist.,היא אמנית מאוד יצירתית.
4,dream,חלום,I had a wonderful dream last night.,היה לי חלום נפלא אתמול בלילה.
4,build,לבנות,We will build a model airplane.,נבנה מטוס דגם.
4,idea,רעיון,That is a great idea!,זה רעיון מצוין!
